Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
051.00154,DEM (DECAPAGE EMBALLAGES METALLIQUES),2012,Air,Thallium et ses composés (exprimés en tant que Tl),1.44,kg/an
051.00164,DSM Composite Resins France,2012,Air,Thallium et ses composés (exprimés en tant que Tl),0.016,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.042,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Benzo (a) pyrène,0.001,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.228,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.152,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.008,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Gamma isomère Lindane,0.001,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Benzo (k) fluoranthène,0.001,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),Benzo (b) fluoranthène,0.001,kg/an
051.00611,Centre Hospitalier de Saint - Quentin,2012,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.178,kg/an
051.01087,DUO METAL,2012,Air,Vanadium et ses composés,0.183,kg/an
051.01087,DUO METAL,2012,Air,Thallium et ses composés (exprimés en tant que Tl),0.168,kg/an
35124267,EARL RUANLT,2012,Air,Ammoniac (NH3),15100,kg/an
75600085,SARL RANNOU,2012,Air,Ammoniac (NH3),20400,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Arsenic et composés (exprimés en tant que As),57.1,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Azote total,72900,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Cadmium et composés (exprimés en tant que Cd),22.9,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Chrome et composés (exprimés en tant que Cr),57.1,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Cuivre et composés (exprimés en tant que Cu),130,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Cyanures (sous forme de CN total),1140,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Demande chimique en oxygène (DCO),219000,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Mercure et composés (exprimés en tant que Hg),5.8,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Nickel et composés (exprimés en tant que Ni),114,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Plomb et composés (exprimés en tant que Pb),57.1,kg/an
790.01001,UDEP-BELFORT,2012,Eau (direct),Zinc et composés (exprimés en tant que Zn),537,kg/an
051.01448,DESRUES S.A.S,2012,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.000015,kg/an
051.01448,DESRUES S.A.S,2012,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.0000070,kg/an
11292003,SICA SARL LA POMAREDE,2012,Air,Ammoniac (NH3),14000,kg/an
35133029,EARL DE LA VILLE HOUEE,2012,Air,Ammoniac (NH3),10400,kg/an
62633013,LECHERF (GAEC de la Sapinière),2012,Air,Ammoniac (NH3),10100,kg/an
75600086,EARL DU MOULIN DU DUC,2012,Air,Ammoniac (NH3),12600,kg/an
052.00074,BERKEM,2012,Eau (direct),Chloroforme (trichlorométhane),0.728,kg/an
052.00074,BERKEM,2012,Eau (direct),Gamma isomère Lindane,0.001,kg/an
052.00136,SNCF - Technicentre de Charentes-Périgord,2012,Air,Vanadium et ses composés,0.0237,kg/an
052.01616,soleal,2012,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.39,kg/an
052.01675,SITCOM - Messanges,2012,Air,Vanadium et ses composés,0.091,kg/an
052.01675,SITCOM - Messanges,2012,Air,Thallium et ses composés (exprimés en tant que Tl),0.089,kg/an
052.01743,INERTAM,2012,Air,Vanadium et ses composés,0.16,kg/an
052.01743,INERTAM,2012,Air,Thallium et ses composés (exprimés en tant que Tl),0.035,kg/an
121.00006,SOCIETE DE COGENERATION DE TAVAUX,2012,Air,Oxydes d'azote (NOx/NO2),109000,kg/an
121.00006,SOCIETE DE COGENERATION DE TAVAUX,2012,Air,CO2 Total d'origine non biomasse uniquement,161000000,kg/an
