Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
061.02715,GERFLOR PROVENCE,2014,Eau (indirect),Hydrocarbures,17600,kg/an
064.00082,Le Cercle des Vignerons de Provence / ESTANDON VIGNERONS,2014,Eau (indirect),Demande biologique en oxygène (DBO5),301000,kg/an
064.00082,Le Cercle des Vignerons de Provence / ESTANDON VIGNERONS,2014,Eau (indirect),Demande chimique en oxygène (DCO),449000,kg/an
065.05185,UVE Villejust,2014,Air,Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),0.0661,kg/an
065.06284,MERSEN FRANCE GENNEVILLIERS,2014,Air,Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),0.000369,kg/an
063.00492,CARRIERES DE VOUTRE,2014,Air,Poussières totales,135000,kg/an
072.00719,SA ROY,2014,Air,Poussières totales,138000,kg/an
072.00962,Carrières Iribarren,2014,Air,Poussières totales,130000,kg/an
058.00384,Syngenta Production France S.A.S.,2014,Air,Aldéhyde formique (formaldéhyde),1420,kg/an
01046103,GAEC des Prelions,2014,Air,Ammoniac (NH3),21500,kg/an
01050004,EARL Les Cornalières,2014,Air,Ammoniac (NH3),11500,kg/an
01074121,SAS EGGTEAM AVIPONTE,2014,Air,Ammoniac (NH3),24100,kg/an
01075089,GAEC du Perrat (site volaille),2014,Air,Ammoniac (NH3),27900,kg/an
01115003,SARL de Montburon,2014,Air,Ammoniac (NH3),11000,kg/an
01163009,SARL ELEVAGE DES CHARMES,2014,Air,Ammoniac (NH3),23800,kg/an
01163015,SARL Elevage du Bois Cochon,2014,Air,Ammoniac (NH3),13800,kg/an
01163177,EARL des Quatres Saisons,2014,Air,Ammoniac (NH3),14500,kg/an
01301084,SARL Elevage des Marais,2014,Air,Ammoniac (NH3),34800,kg/an
01312009,PROVENT SDPR - Elevage des 3 Monts,2014,Air,Ammoniac (NH3),40600,kg/an
01346010,SCEA SOGIFRA,2014,Air,Ammoniac (NH3),13300,kg/an
01374138,GAEC de l'Orme,2014,Air,Ammoniac (NH3),14200,kg/an
01441045,SA Larçon,2014,Air,Ammoniac (NH3),11200,kg/an
02017039,SCEA Les COUTURES,2014,Air,Ammoniac (NH3),15200,kg/an
02147039,SCEA des 3B,2014,Air,Ammoniac (NH3),12200,kg/an
02301303,SAS Les Montagnes d'AUZANCES,2014,Sol,Phosphore total,5070,kg/an
02372851,GAEC MANSCOURT,2014,Air,Ammoniac (NH3),11300,kg/an
02650115,GAEC des Hayettes - MOREAU,2014,Air,Ammoniac (NH3),16900,kg/an
02813030,EARL DE LA BREZE,2014,Air,Ammoniac (NH3),10000,kg/an
03146008,GAEC DE ROOVER,2014,Air,Ammoniac (NH3),24800,kg/an
03237999,AUVERGNE POUSSINS,2014,Air,Ammoniac (NH3),11800,kg/an
051.00009,ISDND ALLEMANT,2014,Air,Méthane (CH4),896000,kg/an
051.00009,ISDND ALLEMANT,2014,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15600000,kg/an
051.00009,ISDND ALLEMANT,2014,Air,CO2 Total d'origine biomasse uniquement,15600000,kg/an
051.00097,NESTLE - Usine de Boué,2014,Air,CO2 Total d'origine non biomasse uniquement,17300000,kg/an
051.00097,NESTLE - Usine de Boué,2014,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),17300000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,Composés organiques volatils non méthaniques (COVNM),155000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,Oxydes de soufre (SOx/SO2),178000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,Oxydes d'azote (NOx/NO2),133000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,CO2 Total d'origine non biomasse uniquement,130000000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),149000000,kg/an
051.00114,Etablissement de Bucy Le Long,2014,Air,CO2 Total d'origine biomasse uniquement,19200000,kg/an
051.00143,Greenfield SAS,2014,Air,CO2 Total d'origine non biomasse uniquement,27000000,kg/an
051.00143,Greenfield SAS,2014,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),27000000,kg/an
051.00143,Greenfield SAS,2014,Eau (direct),Demande chimique en oxygène (DCO),343000,kg/an
051.00143,Greenfield SAS,2014,Sol,Cadmium et composés (exprimés en tant que Cd),8.08,kg/an
051.00143,Greenfield SAS,2014,Sol,Chrome et composés (exprimés en tant que Cr),303,kg/an
051.00143,Greenfield SAS,2014,Sol,Cuivre et composés (exprimés en tant que Cu),2470,kg/an
051.00143,Greenfield SAS,2014,Sol,Mercure et composés (exprimés en tant que Hg),5.66,kg/an
051.00143,Greenfield SAS,2014,Sol,Nickel et composés (exprimés en tant que Ni),129,kg/an
051.00143,Greenfield SAS,2014,Sol,Plomb et composés (exprimés en tant que Pb),465,kg/an
051.00143,Greenfield SAS,2014,Sol,Zinc et composés (exprimés en tant que Zn),9760,kg/an
051.00185,ARKEMA Usine de Chauny,2014,Eau (direct),Di(2-éthylhexyle)phtalate (DEHP),234,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,"1,2-dichloroéthane (DCE - chlorure d'éthylène)",4510,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,Aldéhyde formique (formaldéhyde),1880,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,Composés organiques volatils non méthaniques (COVNM),37400,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,"Dichlorométhane (DCM, chlorure de méthylène)",32700,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,Méthanol (alcool méthylique),23600,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,CO2 Total d'origine non biomasse uniquement,10900000,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10900000,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",12,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),Chlorures (en tant que Cl total),3410000,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),Composés organohalogénés (exprimés en tant que AOX),1530,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),Demande chimique en oxygène (DCO),163000,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),"Dichlorométhane (DCM, chlorure de méthylène)",24,kg/an
051.00190,Dow France SAS - Site de Chauny,2014,Eau (direct),Sulfates,3240000,kg/an
051.00203,EUROKERA,2014,Air,Hydroflurocarbures (HFC),118,kg/an
051.00257,VERALLIA-VAUXROT,2014,Air,Oxydes d'azote (NOx/NO2),216000,kg/an
051.00257,VERALLIA-VAUXROT,2014,Air,CO2 Total d'origine non biomasse uniquement,58500000,kg/an
